InvoiceID,InvoiceNumber,Reference,ContactName,CustomerTier,InvoiceDate,AgeingDays,DueDate,OverdueDays,PaymentTermsDays,Status,FullyPaidOffDate,PaymentOverdueDays,CurrencyCode,CurrencyRate,SubtotalSource,TotalTaxSource,InvoiceAmountAUD,AmountPaidAUD,CreditedAmountAUD,OutstandingAmountAUD,UpdatedDate
0561aa74-f85d-47b1-ac8b-1e3aeaa0f525,h2coconut#6247,#6247 placed by Jhai Slattery,crazyunhappyfun,3,03/07/2023,-3,03/07/2023,0,0,PAID,30/06/2023,-3,AUD,1.0,43.09,4.31,47.400000000000006,47.4,0.0,0.0,03/07/2023
88b8b94a-21ea-471a-a123-5af31c971f89,h2coconut#6248,#6248 placed by Steven Davenport,Steven Davenport,3,03/07/2023,-4,03/07/2023,0,0,PAID,29/06/2023,-4,AUD,1.0,50.91,5.09,56.0,56.0,0.0,0.0,03/07/2023
3e22e621-2fbd-41a6-9a18-b511020df782,h2coconut#6252,#6252 placed by Adam Paino,Adam Paino,3,03/07/2023,-4,03/07/2023,0,0,PAID,29/06/2023,-4,AUD,1.0,69.1,6.9,76.0,76.0,0.0,0.0,03/07/2023
19f944c2-35eb-4404-a088-2e47a9fcc96a,h2coconut#6249,#6249 placed by Leila Karimi,Leila Karimi,3,03/07/2023,0,03/07/2023,0,0,PAID,03/07/2023,0,AUD,1.0,79.09,7.91,87.0,87.0,0.0,0.0,04/07/2023
3c3ee881-009b-491f-83d1-54ff16bb06e4,h2coconut#6246,#6246 placed by Courtney Borg,Courtney Borg,3,03/07/2023,0,03/07/2023,0,0,PAID,03/07/2023,0,AUD,1.0,49.64,1.36,51.0,51.0,0.0,0.0,04/07/2023
4ce76ef8-5066-4ae9-af5a-9af16ea65f97,h2coconut#6268,#6268 placed by Jeguan Song,Jeguan Song,3,04/07/2023,0,04/07/2023,0,0,PAID,N/A,0,AUD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,04/07/2023
811f44ff-5a61-4027-bb25-e1c0408ee5a3,SI-00008575,Ilan email 29/06,R&M Wholesalers & Distributors,3,04/07/2023,0,13/07/2023,0,9,PAID,04/07/2023,-9,AUD,1.0,933.6,0.0,933.6,933.6,0.0,0.0,05/07/2023
732d8414-7c99-4be1-8f0c-2323a142eb28,h2coconut#6255,#6255 placed by Donghoon Chang,Donghoon Chang,3,04/07/2023,0,04/07/2023,0,0,PAID,04/07/2023,0,AUD,1.0,123.44,1.36,124.8,124.8,0.0,0.0,05/07/2023
8f0d3926-66a7-481a-b45f-26b3e1395355,h2coconut#6253,#6253 placed by Tena Dellaca-Hedrick,tdellacahedrick,3,04/07/2023,-1,04/07/2023,0,0,PAID,03/07/2023,-1,AUD,1.0,53.64,1.36,55.0,55.0,0.0,0.0,05/07/2023
3ca14e2e-6247-43a4-a67c-5e0d62cb844b,h2coconut#6254,#6254 placed by Kar Yen Lim,Kar Yen Lim,3,04/07/2023,0,04/07/2023,0,0,PAID,04/07/2023,0,AUD,1.0,37.64,1.36,39.0,39.0,0.0,0.0,05/07/2023
